Using 8 worker threads.
Speed: 12.499999 creatures/sec. Server status: 19:53:18: 6049x RT, 100.8 creatures/sec. Fitness: best=958.1, avg=664.8, new=(qd-mutate=651.4, curl-left=521.3). MAP-Elites(8x8, morphologies=3): occupied=18, pending=192, in flight=24
Speed: 12.399996 creatures/sec. Server status: 19:53:18: 6049x RT, 100.8 creatures/sec. Fitness: best=958.1, avg=664.8, new=(qd-mutate=651.4, curl-left=521.3). MAP-Elites(8x8, morphologies=3): occupied=18, pending=192, in flight=24
Speed: 12.699999 creatures/sec. Server status: 19:53:18: 6049x RT, 100.8 creatures/sec. Fitness: best=958.1, avg=664.8, new=(qd-mutate=651.4, curl-left=521.3). MAP-Elites(8x8, morphologies=3): occupied=18, pending=192, in flight=24
Speed: 12.499964 creatures/sec. Server status: 19:53:18: 6049x RT, 100.8 creatures/sec. Fitness: best=958.1, avg=664.8, new=(qd-mutate=651.4, curl-left=521.3). MAP-Elites(8x8, morphologies=3): occupied=18, pending=192, in flight=24
Speed: 12.499995 creatures/sec. Server status: 19:53:18: 6049x RT, 100.8 creatures/sec. Fitness: best=958.1, avg=664.8, new=(qd-mutate=651.4, curl-left=521.3). MAP-Elites(8x8, morphologies=3): occupied=18, pending=192, in flight=24
Speed: 12.499986 creatures/sec. Server status: 19:53:18: 6049x RT, 100.8 creatures/sec. Fitness: best=958.1, avg=664.8, new=(qd-mutate=651.4, curl-left=521.3). MAP-Elites(8x8, morphologies=3): occupied=18, pending=192, in flight=24
Speed: 12.499971 creatures/sec. Server status: 19:53:18: 6049x RT, 100.8 creatures/sec. Fitness: best=958.1, avg=664.8, new=(qd-mutate=651.4, curl-left=521.3). MAP-Elites(8x8, morphologies=3): occupied=18, pending=192, in flight=24
Speed: 12.599992 creatures/sec. Server status: 19:53:18: 6049x RT, 100.8 creatures/sec. Fitness: best=958.1, avg=664.8, new=(qd-mutate=651.4, curl-left=521.3). MAP-Elites(8x8, morphologies=3): occupied=18, pending=192, in flight=24
Speed: 10.599990 creatures/sec. Server status: 19:53:28: 5668x RT, 94.5 creatures/sec. Fitness: best=1059.4, avg=689.6, new=(qd-mutate=638.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 10.799984 creatures/sec. Server status: 19:53:28: 5668x RT, 94.5 creatures/sec. Fitness: best=1059.4, avg=689.6, new=(qd-mutate=638.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 10.699984 creatures/sec. Server status: 19:53:28: 5668x RT, 94.5 creatures/sec. Fitness: best=1059.4, avg=689.6, new=(qd-mutate=638.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 10.599968 creatures/sec. Server status: 19:53:28: 5668x RT, 94.5 creatures/sec. Fitness: best=1059.4, avg=689.6, new=(qd-mutate=638.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 10.599998 creatures/sec. Server status: 19:53:28: 5668x RT, 94.5 creatures/sec. Fitness: best=1059.4, avg=689.6, new=(qd-mutate=638.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 10.799998 creatures/sec. Server status: 19:53:28: 5668x RT, 94.5 creatures/sec. Fitness: best=1059.4, avg=689.6, new=(qd-mutate=638.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 10.799993 creatures/sec. Server status: 19:53:28: 5668x RT, 94.5 creatures/sec. Fitness: best=1059.4, avg=689.6, new=(qd-mutate=638.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 10.899989 creatures/sec. Server status: 19:53:28: 5668x RT, 94.5 creatures/sec. Fitness: best=1059.4, avg=689.6, new=(qd-mutate=638.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 10.899992 creatures/sec. Server status: 19:53:38: 4923x RT, 82.0 creatures/sec. Fitness: best=1059.4, avg=708.9, new=(qd-mutate=623.8). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 10.899992 creatures/sec. Server status: 19:53:38: 4923x RT, 82.0 creatures/sec. Fitness: best=1059.4, avg=708.9, new=(qd-mutate=623.8). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 11.099988 creatures/sec. Server status: 19:53:38: 4923x RT, 82.0 creatures/sec. Fitness: best=1059.4, avg=708.9, new=(qd-mutate=623.8). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
