Listening on 127.0.0.1:9999
--> new robust best creature found through curl-right! Fitness=480.29041314834376 domains=[392.236267, 607.434021, 770.52771]
--> new robust best creature found through curl-right! Fitness=655.3922041627461 domains=[607.699585, 839.99054, 680.863159]
--> new robust best creature found through template-m0-champion-proportions! Fitness=690.8458930284055 domains=[864.337341, 603.22937, 904.788757]
--> new robust best creature found through curl-right! Fitness=819.4717230778456 domains=[825.103577, 1274.798462, 725.232117]
19:53:12: 5502x RT, 91.7 creatures/sec. Fitness: best=819.5, avg=595.6, new=(curl-right=703.5, template-m1-balanced=596.1, curl-left=542.1, template-m0-champion-proportions=676.3, template-m2-wheel-biased=585.4). MAP-Elites(8x8, morphologies=3): occupied=13, pending=192, in flight=24
--> new robust best creature found through curl-right! Fitness=820.1652063291344 domains=[1273.837524, 618.786316, 1352.435669]
19:53:14: 5999x RT, 100.0 creatures/sec. Fitness: best=820.2, avg=614.5, new=(template-m2-wheel-biased=605.5, curl-left=608.9, curl-right=603.0, template-m1-balanced=670.1, template-m0-champion-proportions=789.8). MAP-Elites(8x8, morphologies=3): occupied=15, pending=192, in flight=24
--> new robust best creature found through curl-right! Fitness=876.4965175950049 domains=[1177.166016, 1222.366455, 734.416199]
--> new robust best creature found through template-m0-champion-proportions! Fitness=958.1171388511182 domains=[1141.007324, 920.404846, 940.345703]
19:53:16: 6044x RT, 100.7 creatures/sec. Fitness: best=958.1, avg=649.7, new=(curl-right=620.2, template-m1-balanced=650.8, template-m2-wheel-biased=715.7, curl-left=645.8, template-m0-champion-proportions=768.8, qd-mutate=633.2). MAP-Elites(8x8, morphologies=3): occupied=17, pending=192, in flight=24
19:53:18: 6049x RT, 100.8 creatures/sec. Fitness: best=958.1, avg=664.8, new=(qd-mutate=651.4, curl-left=521.3). MAP-Elites(8x8, morphologies=3): occupied=18, pending=192, in flight=24
19:53:20: 6177x RT, 102.9 creatures/sec. Fitness: best=958.1, avg=664.2, new=(qd-mutate=654.7). MAP-Elites(8x8, morphologies=3): occupied=20, pending=192, in flight=24
19:53:22: 5743x RT, 95.7 creatures/sec. Fitness: best=958.1, avg=667.4, new=(qd-mutate=626.4). MAP-Elites(8x8, morphologies=3): occupied=21, pending=192, in flight=24
19:53:24: 4092x RT, 68.2 creatures/sec. Fitness: best=958.1, avg=664.9, new=(qd-mutate=609.1). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:53:26: 4825x RT, 80.4 creatures/sec. Fitness: best=958.1, avg=674.1, new=(qd-mutate=611.3). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
--> new robust best creature found through qd-mutate! Fitness=1059.4316826086456 domains=[1153.445679, 1021.595398, 1121.14563]
19:53:28: 5668x RT, 94.5 creatures/sec. Fitness: best=1059.4, avg=689.6, new=(qd-mutate=638.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:53:30: 5526x RT, 92.1 creatures/sec. Fitness: best=1059.4, avg=698.1, new=(qd-mutate=624.9). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:53:32: 5667x RT, 94.4 creatures/sec. Fitness: best=1059.4, avg=699.1, new=(qd-mutate=607.8). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:53:34: 5718x RT, 95.3 creatures/sec. Fitness: best=1059.4, avg=701.2, new=(qd-mutate=635.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:53:36: 5375x RT, 89.6 creatures/sec. Fitness: best=1059.4, avg=705.7, new=(qd-mutate=627.9). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:53:38: 4923x RT, 82.0 creatures/sec. Fitness: best=1059.4, avg=708.9, new=(qd-mutate=623.8). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:53:40: 3914x RT, 65.2 creatures/sec. Fitness: best=1059.4, avg=717.7, new=(qd-mutate=652.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
