Listening on 127.0.0.1:9999
--> new robust best creature found through template-m1-balanced! Fitness=435.646299949929 domains=[546.106262, 542.748718, 385.881287]
--> new robust best creature found through curl-right! Fitness=480.29041314834376 domains=[392.236267, 607.434021, 770.52771]
--> new robust best creature found through template-m0-champion-proportions! Fitness=670.914992526747 domains=[705.541748, 594.753296, 993.655823]
--> new robust best creature found through template-m0-champion-proportions! Fitness=690.8458930284055 domains=[864.337341, 603.22937, 904.788757]
--> new robust best creature found through curl-right! Fitness=819.4717230778456 domains=[825.103577, 1274.798462, 725.232117]
21:32:51: 5893x RT, 98.2 creatures/sec. Fitness: best=819.5, avg=595.6, new=(curl-left=547.9, template-m1-balanced=594.0, template-m0-champion-proportions=679.9, curl-right=691.3, template-m2-wheel-biased=570.8). MAP-Elites(8x8, morphologies=3): occupied=13, pending=384, in flight=40
--> new robust best creature found through curl-right! Fitness=820.1652063291344 domains=[1273.837524, 618.786316, 1352.435669]
21:32:53: 4519x RT, 75.3 creatures/sec. Fitness: best=820.2, avg=611.2, new=(curl-right=581.2, template-m1-balanced=631.3, curl-left=620.6, template-m2-wheel-biased=625.2, template-m0-champion-proportions=764.8). MAP-Elites(8x8, morphologies=3): occupied=15, pending=384, in flight=40
21:32:55: 3606x RT, 60.1 creatures/sec. Fitness: best=820.2, avg=621.4, new=(template-m0-champion-proportions=851.1, curl-left=627.8, curl-right=638.3, template-m2-wheel-biased=697.4, template-m1-balanced=688.5). MAP-Elites(8x8, morphologies=3): occupied=16, pending=384, in flight=40
--> new robust best creature found through curl-right! Fitness=876.4965175950049 domains=[1177.166016, 1222.366455, 734.416199]
--> new robust best creature found through template-m0-champion-proportions! Fitness=958.1171388511182 domains=[1141.007324, 920.404846, 940.345703]
21:32:57: 3470x RT, 57.8 creatures/sec. Fitness: best=958.1, avg=647.1, new=(curl-left=637.8, curl-right=599.0, template-m1-balanced=626.5, template-m2-wheel-biased=710.2, template-m0-champion-proportions=747.9). MAP-Elites(8x8, morphologies=3): occupied=17, pending=384, in flight=40
21:32:59: 2958x RT, 49.3 creatures/sec. Fitness: best=958.1, avg=637.6, new=(curl-left=593.5, template-m2-wheel-biased=543.9, curl-right=600.6, template-m1-balanced=717.1, template-m0-champion-proportions=603.3). MAP-Elites(8x8, morphologies=3): occupied=19, pending=384, in flight=41
21:33:01: 3289x RT, 54.8 creatures/sec. Fitness: best=958.1, avg=653.4, new=(curl-left=593.5, template-m2-wheel-biased=570.7, template-m1-balanced=674.3, curl-right=610.8, template-m0-champion-proportions=586.8). MAP-Elites(8x8, morphologies=3): occupied=20, pending=384, in flight=40
21:33:04: 3291x RT, 54.8 creatures/sec. Fitness: best=958.1, avg=657.9, new=(curl-left=617.2, curl-right=600.5, template-m0-champion-proportions=696.0, template-m1-balanced=634.5, template-m2-wheel-biased=681.7). MAP-Elites(8x8, morphologies=3): occupied=20, pending=384, in flight=40
--> new robust best creature found through template-m0-champion-proportions! Fitness=1005.9697656318947 domains=[932.243835, 1040.342163, 1297.771973]
21:33:06: 3429x RT, 57.1 creatures/sec. Fitness: best=1006.0, avg=677.8, new=(curl-right=658.6, template-m0-champion-proportions=835.8, template-m1-balanced=693.5, curl-left=627.5, template-m2-wheel-biased=564.8). MAP-Elites(8x8, morphologies=3): occupied=20, pending=384, in flight=40
21:33:08: 3295x RT, 54.9 creatures/sec. Fitness: best=1006.0, avg=682.4, new=(curl-right=645.2, template-m1-balanced=684.5, template-m2-wheel-biased=569.8, curl-left=527.9, template-m0-champion-proportions=543.9, qd-mutate=682.5). MAP-Elites(8x8, morphologies=3): occupied=20, pending=384, in flight=40
21:33:10: 3474x RT, 57.9 creatures/sec. Fitness: best=1006.0, avg=685.8, new=(template-m2-wheel-biased=614.6, template-m0-champion-proportions=869.3, qd-mutate=597.6, curl-left=700.4, template-m1-balanced=842.8, curl-right=661.7). MAP-Elites(8x8, morphologies=3): occupied=20, pending=384, in flight=40
21:33:12: 3283x RT, 54.7 creatures/sec. Fitness: best=1006.0, avg=679.0, new=(qd-mutate=645.7). MAP-Elites(8x8, morphologies=3): occupied=21, pending=384, in flight=40
21:33:14: 3302x RT, 55.0 creatures/sec. Fitness: best=1006.0, avg=682.8, new=(qd-mutate=639.4). MAP-Elites(8x8, morphologies=3): occupied=21, pending=384, in flight=40
21:33:16: 3326x RT, 55.4 creatures/sec. Fitness: best=1006.0, avg=687.5, new=(qd-mutate=607.2). MAP-Elites(8x8, morphologies=3): occupied=21, pending=384, in flight=40
21:33:18: 3392x RT, 56.5 creatures/sec. Fitness: best=1006.0, avg=689.0, new=(qd-mutate=628.6). MAP-Elites(8x8, morphologies=3): occupied=21, pending=384, in flight=40
21:33:20: 3456x RT, 57.6 creatures/sec. Fitness: best=1006.0, avg=689.0, new=(qd-mutate=618.4). MAP-Elites(8x8, morphologies=3): occupied=21, pending=384, in flight=40
21:33:22: 3413x RT, 56.9 creatures/sec. Fitness: best=1006.0, avg=698.5, new=(qd-mutate=612.1). MAP-Elites(8x8, morphologies=3): occupied=22, pending=384, in flight=40
21:33:24: 3373x RT, 56.2 creatures/sec. Fitness: best=1006.0, avg=709.1, new=(qd-mutate=592.2). MAP-Elites(8x8, morphologies=3): occupied=22, pending=384, in flight=40
21:33:26: 3399x RT, 56.6 creatures/sec. Fitness: best=1006.0, avg=688.8, new=(qd-mutate=623.6). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:33:28: 3378x RT, 56.3 creatures/sec. Fitness: best=1006.0, avg=688.8, new=(qd-mutate=638.6). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:33:31: 3424x RT, 57.1 creatures/sec. Fitness: best=1006.0, avg=688.8, new=(qd-mutate=606.1). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
--> new robust best creature found through qd-mutate! Fitness=1207.768213383827 domains=[1279.845093, 1287.937134, 1170.586548]
21:33:33: 3559x RT, 59.3 creatures/sec. Fitness: best=1207.8, avg=704.3, new=(qd-mutate=605.4). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:33:35: 3646x RT, 60.8 creatures/sec. Fitness: best=1207.8, avg=721.5, new=(qd-mutate=612.1). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:33:37: 3641x RT, 60.7 creatures/sec. Fitness: best=1207.8, avg=721.5, new=(qd-mutate=688.0). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:33:39: 3807x RT, 63.4 creatures/sec. Fitness: best=1207.8, avg=721.5, new=(qd-mutate=637.6). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:33:41: 3770x RT, 62.8 creatures/sec. Fitness: best=1207.8, avg=722.7, new=(qd-mutate=653.7). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:33:43: 3870x RT, 64.5 creatures/sec. Fitness: best=1207.8, avg=722.7, new=(qd-mutate=611.0). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:33:45: 4039x RT, 67.3 creatures/sec. Fitness: best=1207.8, avg=725.7, new=(qd-mutate=593.4). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:33:47: 4061x RT, 67.7 creatures/sec. Fitness: best=1207.8, avg=729.4, new=(qd-mutate=642.5). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:33:49: 4207x RT, 70.1 creatures/sec. Fitness: best=1207.8, avg=729.9, new=(qd-mutate=632.3). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
4234165 bytes written to /Users/dag/projects/Machine-Evolved-credible-training/training-runs/me-v2-harmonic-qd-01-double-gravity-double-population-8w/config.json. 
21:33:51: 4213x RT, 70.2 creatures/sec. Fitness: best=1207.8, avg=736.8, new=(qd-mutate=639.9). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:33:53: 4383x RT, 73.1 creatures/sec. Fitness: best=1207.8, avg=737.7, new=(qd-mutate=615.4). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
