Listening on 127.0.0.1:9999
16:21:02: 5989x RT, 99.8 creatures/sec. Fitness: best=1495.1, avg=973.9, new=(loaded=853.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:04: 5934x RT, 98.9 creatures/sec. Fitness: best=1495.1, avg=980.1, new=(loaded=884.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:06: 6602x RT, 110.0 creatures/sec. Fitness: best=1495.1, avg=989.5, new=(loaded=876.9, qd-mutate=857.1). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:08: 6514x RT, 108.6 creatures/sec. Fitness: best=1495.1, avg=989.5, new=(qd-mutate=846.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:11: 6617x RT, 110.3 creatures/sec. Fitness: best=1495.1, avg=991.8, new=(qd-mutate=830.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:13: 6629x RT, 110.5 creatures/sec. Fitness: best=1495.1, avg=991.8, new=(qd-mutate=846.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:15: 6619x RT, 110.3 creatures/sec. Fitness: best=1495.1, avg=994.8, new=(qd-mutate=845.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:17: 6703x RT, 111.7 creatures/sec. Fitness: best=1495.1, avg=1006.5, new=(qd-mutate=870.3). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:19: 6708x RT, 111.8 creatures/sec. Fitness: best=1495.1, avg=1023.8, new=(qd-mutate=862.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
--> new robust best creature found through qd-mutate! Fitness=1496.4069286761542 domains=[1707.758301, 1787.292114, 1378.442261]
16:21:21: 6625x RT, 110.4 creatures/sec. Fitness: best=1496.4, avg=1038.8, new=(qd-mutate=900.9). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:23: 6503x RT, 108.4 creatures/sec. Fitness: best=1496.4, avg=1040.5, new=(qd-mutate=837.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:25: 5998x RT, 100.0 creatures/sec. Fitness: best=1496.4, avg=1040.5, new=(qd-mutate=872.1). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
--> new robust best creature found through qd-mutate! Fitness=1609.5753692274866 domains=[2760.404297, 1281.091553, 2058.487549]
16:21:27: 6707x RT, 111.8 creatures/sec. Fitness: best=1609.6, avg=1052.7, new=(qd-mutate=872.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:29: 6536x RT, 108.9 creatures/sec. Fitness: best=1609.6, avg=1052.7, new=(qd-mutate=937.3). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:31: 6469x RT, 107.8 creatures/sec. Fitness: best=1609.6, avg=1052.7, new=(qd-mutate=917.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:33: 6683x RT, 111.4 creatures/sec. Fitness: best=1609.6, avg=1058.4, new=(qd-mutate=888.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:35: 6400x RT, 106.7 creatures/sec. Fitness: best=1609.6, avg=1058.4, new=(qd-mutate=947.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:37: 6550x RT, 109.2 creatures/sec. Fitness: best=1609.6, avg=1072.1, new=(qd-mutate=935.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:39: 6440x RT, 107.3 creatures/sec. Fitness: best=1609.6, avg=1080.8, new=(qd-mutate=884.8). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
16:21:41: 6609x RT, 110.1 creatures/sec. Fitness: best=1609.6, avg=1082.2, new=(qd-mutate=882.7). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=22
