Using 8 worker threads.
Increasing queue sizes from 16 to 32.
Speed: 17.199993 creatures/sec. Server status: 15:40:34: 8017x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1487.9, new=(qd-mutate=1132.5, qd-large-mutate=1252.9, template-m1-balanced=975.6, curl-left=854.3, curl-right=823.7). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56540.849
Speed: 16.899992 creatures/sec. Server status: 15:40:34: 8017x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1487.9, new=(qd-mutate=1132.5, qd-large-mutate=1252.9, template-m1-balanced=975.6, curl-left=854.3, curl-right=823.7). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56540.849
Speed: 16.599995 creatures/sec. Server status: 15:40:34: 8017x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1487.9, new=(qd-mutate=1132.5, qd-large-mutate=1252.9, template-m1-balanced=975.6, curl-left=854.3, curl-right=823.7). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56540.849
Speed: 16.799990 creatures/sec. Server status: 15:40:34: 8017x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1487.9, new=(qd-mutate=1132.5, qd-large-mutate=1252.9, template-m1-balanced=975.6, curl-left=854.3, curl-right=823.7). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56540.849
Speed: 16.599958 creatures/sec. Server status: 15:40:34: 8017x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1487.9, new=(qd-mutate=1132.5, qd-large-mutate=1252.9, template-m1-balanced=975.6, curl-left=854.3, curl-right=823.7). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56540.849
Speed: 16.499992 creatures/sec. Server status: 15:40:34: 8017x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1487.9, new=(qd-mutate=1132.5, qd-large-mutate=1252.9, template-m1-balanced=975.6, curl-left=854.3, curl-right=823.7). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56540.849
Speed: 16.799973 creatures/sec. Server status: 15:40:34: 8017x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1487.9, new=(qd-mutate=1132.5, qd-large-mutate=1252.9, template-m1-balanced=975.6, curl-left=854.3, curl-right=823.7). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56540.849
Speed: 16.600000 creatures/sec. Server status: 15:40:34: 8017x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1487.9, new=(qd-mutate=1132.5, qd-large-mutate=1252.9, template-m1-balanced=975.6, curl-left=854.3, curl-right=823.7). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56540.849
Speed: 17.099980 creatures/sec. Server status: 15:40:44: 8116x RT, 135.3 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(curl-left=923.1, qd-mutate=1082.5, qd-large-mutate=995.7, curl-right=1701.5, template-m1-balanced=956.0). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.999993 creatures/sec. Server status: 15:40:44: 8116x RT, 135.3 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(curl-left=923.1, qd-mutate=1082.5, qd-large-mutate=995.7, curl-right=1701.5, template-m1-balanced=956.0). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.799990 creatures/sec. Server status: 15:40:44: 8116x RT, 135.3 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(curl-left=923.1, qd-mutate=1082.5, qd-large-mutate=995.7, curl-right=1701.5, template-m1-balanced=956.0). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.699992 creatures/sec. Server status: 15:40:44: 8116x RT, 135.3 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(curl-left=923.1, qd-mutate=1082.5, qd-large-mutate=995.7, curl-right=1701.5, template-m1-balanced=956.0). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.799992 creatures/sec. Server status: 15:40:44: 8116x RT, 135.3 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(curl-left=923.1, qd-mutate=1082.5, qd-large-mutate=995.7, curl-right=1701.5, template-m1-balanced=956.0). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.799965 creatures/sec. Server status: 15:40:44: 8116x RT, 135.3 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(curl-left=923.1, qd-mutate=1082.5, qd-large-mutate=995.7, curl-right=1701.5, template-m1-balanced=956.0). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.899965 creatures/sec. Server status: 15:40:44: 8116x RT, 135.3 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(curl-left=923.1, qd-mutate=1082.5, qd-large-mutate=995.7, curl-right=1701.5, template-m1-balanced=956.0). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.799992 creatures/sec. Server status: 15:40:44: 8116x RT, 135.3 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(curl-left=923.1, qd-mutate=1082.5, qd-large-mutate=995.7, curl-right=1701.5, template-m1-balanced=956.0). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.999986 creatures/sec. Server status: 15:40:54: 8107x RT, 135.1 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(qd-large-mutate=1122.3, curl-left=519.0, qd-mutate=1039.9, template-m1-balanced=999.5, curl-right=1102.5). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.899994 creatures/sec. Server status: 15:40:54: 8107x RT, 135.1 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(qd-large-mutate=1122.3, curl-left=519.0, qd-mutate=1039.9, template-m1-balanced=999.5, curl-right=1102.5). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.799995 creatures/sec. Server status: 15:40:54: 8107x RT, 135.1 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(qd-large-mutate=1122.3, curl-left=519.0, qd-mutate=1039.9, template-m1-balanced=999.5, curl-right=1102.5). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.699958 creatures/sec. Server status: 15:40:54: 8107x RT, 135.1 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(qd-large-mutate=1122.3, curl-left=519.0, qd-mutate=1039.9, template-m1-balanced=999.5, curl-right=1102.5). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.899988 creatures/sec. Server status: 15:40:54: 8107x RT, 135.1 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(qd-large-mutate=1122.3, curl-left=519.0, qd-mutate=1039.9, template-m1-balanced=999.5, curl-right=1102.5). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.799987 creatures/sec. Server status: 15:40:54: 8107x RT, 135.1 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(qd-large-mutate=1122.3, curl-left=519.0, qd-mutate=1039.9, template-m1-balanced=999.5, curl-right=1102.5). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.799988 creatures/sec. Server status: 15:40:54: 8107x RT, 135.1 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(qd-large-mutate=1122.3, curl-left=519.0, qd-mutate=1039.9, template-m1-balanced=999.5, curl-right=1102.5). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.799988 creatures/sec. Server status: 15:40:54: 8107x RT, 135.1 creatures/sec. Fitness: best=2763.6, avg=1493.3, new=(qd-large-mutate=1122.3, curl-left=519.0, qd-mutate=1039.9, template-m1-balanced=999.5, curl-right=1102.5). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56744.008
Speed: 16.799997 creatures/sec. Server status: 15:41:04: 8077x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1499.0, new=(qd-mutate=1061.8, template-m1-balanced=929.3, curl-left=906.3, qd-large-mutate=1066.2, curl-right=1160.6). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56961.940
Speed: 16.499982 creatures/sec. Server status: 15:41:04: 8077x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1499.0, new=(qd-mutate=1061.8, template-m1-balanced=929.3, curl-left=906.3, qd-large-mutate=1066.2, curl-right=1160.6). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56961.940
Speed: 16.499990 creatures/sec. Server status: 15:41:04: 8077x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1499.0, new=(qd-mutate=1061.8, template-m1-balanced=929.3, curl-left=906.3, qd-large-mutate=1066.2, curl-right=1160.6). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56961.940
Speed: 16.699993 creatures/sec. Server status: 15:41:04: 8077x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1499.0, new=(qd-mutate=1061.8, template-m1-balanced=929.3, curl-left=906.3, qd-large-mutate=1066.2, curl-right=1160.6). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56961.940
Speed: 16.499998 creatures/sec. Server status: 15:41:04: 8077x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1499.0, new=(qd-mutate=1061.8, template-m1-balanced=929.3, curl-left=906.3, qd-large-mutate=1066.2, curl-right=1160.6). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56961.940
Speed: 16.399996 creatures/sec. Server status: 15:41:04: 8077x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1499.0, new=(qd-mutate=1061.8, template-m1-balanced=929.3, curl-left=906.3, qd-large-mutate=1066.2, curl-right=1160.6). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56961.940
Speed: 16.599732 creatures/sec. Server status: 15:41:04: 8077x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1499.0, new=(qd-mutate=1061.8, template-m1-balanced=929.3, curl-left=906.3, qd-large-mutate=1066.2, curl-right=1160.6). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56961.940
Speed: 16.399956 creatures/sec. Server status: 15:41:04: 8077x RT, 134.6 creatures/sec. Fitness: best=2763.6, avg=1499.0, new=(qd-mutate=1061.8, template-m1-balanced=929.3, curl-left=906.3, qd-large-mutate=1066.2, curl-right=1160.6). MAP-Elites(8x8, morphologies=3): occupied=38, pending=192, in flight=40, QD score=56961.940
Speed: 16.999963 creatures/sec. Server status: 15:41:15: 8018x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1097.2, curl-right=879.0, qd-mutate=1034.4, template-m1-balanced=944.6). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.799972 creatures/sec. Server status: 15:41:15: 8018x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1097.2, curl-right=879.0, qd-mutate=1034.4, template-m1-balanced=944.6). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.899995 creatures/sec. Server status: 15:41:15: 8018x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1097.2, curl-right=879.0, qd-mutate=1034.4, template-m1-balanced=944.6). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.599962 creatures/sec. Server status: 15:41:15: 8018x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1097.2, curl-right=879.0, qd-mutate=1034.4, template-m1-balanced=944.6). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.799995 creatures/sec. Server status: 15:41:15: 8018x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1097.2, curl-right=879.0, qd-mutate=1034.4, template-m1-balanced=944.6). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.600000 creatures/sec. Server status: 15:41:15: 8018x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1097.2, curl-right=879.0, qd-mutate=1034.4, template-m1-balanced=944.6). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.999991 creatures/sec. Server status: 15:41:15: 8018x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1097.2, curl-right=879.0, qd-mutate=1034.4, template-m1-balanced=944.6). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.699988 creatures/sec. Server status: 15:41:15: 8018x RT, 133.6 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1097.2, curl-right=879.0, qd-mutate=1034.4, template-m1-balanced=944.6). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.599998 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.999922 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.899904 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.899988 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 17.099987 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 17.299403 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
Speed: 16.899973 creatures/sec. Server status: 15:41:25: 8177x RT, 136.3 creatures/sec. Fitness: best=2763.6, avg=1480.3, new=(qd-large-mutate=1021.0, qd-mutate=1035.9, template-m2-wheel-biased=710.0, curl-right=908.3, curl-left=826.0). MAP-Elites(8x8, morphologies=3): occupied=39, pending=192, in flight=40, QD score=57729.779
