Listening on 127.0.0.1:9999
MAP-Elites insertion: outcome=new-global-best qd-delta=929.760288 qd-score=929.760288 emitter=initial-population
--> new robust best creature found through loaded! Fitness=929.760288052357 domains=[771.711731, 1320.081055, 1263.578003]
MAP-Elites insertion: outcome=new-cell qd-delta=724.896633 qd-score=1654.656921 emitter=initial-population
MAP-Elites insertion: outcome=new-global-best qd-delta=935.410452 qd-score=2590.067373 emitter=initial-population
--> new robust best creature found through loaded! Fitness=935.4104520186493 domains=[1279.516479, 703.413574, 1767.708374]
MAP-Elites insertion: outcome=new-cell qd-delta=710.295422 qd-score=3300.362795 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=3300.362795 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=594.207049 qd-score=3894.569844 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=686.060789 qd-score=4580.630632 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=4580.630632 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=4580.630632 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=400.600561 qd-score=4981.231194 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=4981.231194 emitter=initial-population
MAP-Elites insertion: outcome=new-global-best qd-delta=375.529027 qd-score=5356.760221 emitter=initial-population
--> new robust best creature found through loaded! Fitness=1061.5898153503404 domains=[1362.85437, 851.391724, 1772.822266]
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=5356.760221 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=607.079784 qd-score=5963.840005 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=5963.840005 emitter=initial-population
MAP-Elites insertion: outcome=new-global-best qd-delta=1124.348070 qd-score=7088.188075 emitter=initial-population
--> new robust best creature found through loaded! Fitness=1124.3480699967054 domains=[964.021667, 1132.694092, 1941.689819]
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=7088.188075 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=7088.188075 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=18.855430 qd-score=7107.043505 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=7107.043505 emitter=initial-population
MAP-Elites insertion: outcome=new-global-best qd-delta=758.054234 qd-score=7865.097739 emitter=initial-population
--> new robust best creature found through loaded! Fitness=1158.6547954921696 domains=[1236.154541, 912.947998, 2454.245605]
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=7865.097739 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=7865.097739 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=469.462241 qd-score=8334.559981 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=8334.559981 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=8334.559981 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=113.143360 qd-score=8447.703341 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=8447.703341 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=8447.703341 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=57.507675 qd-score=8505.211016 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=252.531336 qd-score=8757.742352 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=8757.742352 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=8757.742352 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=8757.742352 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=917.229838 qd-score=9674.972190 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9674.972190 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=563.140257 qd-score=10238.112448 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10238.112448 emitter=initial-population
MAP-Elites insertion: outcome=new-global-best qd-delta=190.498578 qd-score=10428.611026 emitter=initial-population
--> new robust best creature found through loaded! Fitness=1252.0883934883157 domains=[1554.183472, 1122.048096, 1514.020264]
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10428.611026 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10428.611026 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=80.232597 qd-score=10508.843623 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10508.843623 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10508.843623 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10508.843623 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10508.843623 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10508.843623 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10508.843623 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=42.592548 qd-score=10551.436171 emitter=initial-population
MAP-Elites insertion: outcome=new-global-best qd-delta=337.754866 qd-score=10889.191037 emitter=initial-population
--> new robust best creature found through loaded! Fitness=1273.1653180537962 domains=[1161.917847, 1334.652344, 1711.012695]
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10889.191037 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=24.483693 qd-score=10913.674730 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10913.674730 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10913.674730 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10913.674730 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10913.674730 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=1.215816 qd-score=10914.890546 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10914.890546 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10914.890546 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=103.395958 qd-score=11018.286504 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11018.286504 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=161.697581 qd-score=11179.984085 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=18.468860 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=169.137856 qd-score=11367.590801 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11367.590801 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11367.590801 emitter=initial-population
14:25:34: 7830x RT, 130.5 creatures/sec. Fitness: best=1273.2, avg=947.3, new=(loaded=896.2). MAP-Elites(8x8, morphologies=3): occupied=12, pending=192, in flight=40, QD score=11367.591
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11367.590801 emitter=initial-population
